S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
1,SIA/AP/IND2/565985/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/257058/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
19/01/2026",M/s Gayathri Renewable Fuels and Allied Industries Private Limited,ANDHRA PRADESH,SRI SAI Jabbala,SEIAA,EC Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
2,SIA/AP/IND2/565986/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/253504/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
19/01/2026",M/s RAMSHY Bio Private Limited,ANDHRA PRADESH,RAMSHY BIO PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
3,SIA/AP/IND2/555719/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/263570/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
21/10/2025",3 x 504 KLPD Grain based Ethanol Plant along with 1 x 12 MW & 1 x 25 MW Co-generation Power plant in phases - KRISHNA AGRO FUELS PRIVATE LIMITED,ANDHRA PRADESH,KRISHNA AGRO FUELS PRIVATE LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
4,SIA/AP/IND2/548590/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/257058/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
20/08/2025",M/s Gayathri Renewable Fuels and Allied Industries Private Limited,ANDHRA PRADESH,SRI SAI Jabbala,SEIAA,ToR Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
5,SIA/AP/IND2/548115/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/253504/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
19/08/2025",M/s RAMSHY Bio Private Limited,ANDHRA PRADESH,RAMSHY BIO PRIVATE LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
6,SIA/AP/IND2/547667/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/256489/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
10/08/2025","Grain Based Distillery plant Capacity of 200 KLPD Fuel Ethanol along with 4.50 MW Co-Gen Power Plant of Gandepalli Village, Kanchikacherla Mandal, NTR District, Andhra Pradesh of Sentini Bio-Spirit Private Limited",ANDHRA PRADESH,SENTINI BIO-SPIRIT PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
7,SIA/AP/IND2/545190/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/253847/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
18/07/2025","Grain Based Distillery project Capacity of 200 KLPD Fuel Ethanol along with 5.0 MW Co-Gen Power Plant of Emmajigudem Village, Bellamkonda Mandal, Palnadu District, Andhra Pradesh of Eindana Energies Private Limited",ANDHRA PRADESH,EINDANA ENERGIES PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
8,SIA/AP/IND2/540454/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/135944/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
05/06/2025",Establishment of 500 KLPD Grain Based Distillery to produce Ethanol under EBP Programme by M/s. GRACE VENTURES PRIVATE LIMITED,ANDHRA PRADESH,ANUPAM SINGHANIA,SEIAA,EC Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
9,SIA/AP/IND2/539438/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/248937/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
29/05/2025",M/s. Nayara Energy Limited,ANDHRA PRADESH,NAYARA ENERGY LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
10,SIA/AP/IND2/534720/2025,"Clearance Type: Application for amendment in ToR (for categories A & B1)/Amendment in EC (for category B2)- Form-3
S/W No.: SW/244330/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
21/04/2025","Amendment in EC for Change in Boiler Fuel (Biomass to Coal / Biomass) in Existing granted EC for 24 MW Co-generation power plant and 1000 KLPD Grain based Ethanol Plant (No change in Ethanol Plant capacity) at Plot no. 4B, 5/9 to 5/14, Model Industrial Park, Mallavalli, Tehsil Bapulapadu, District Krishna, Andhra Pradesh by M/s. Alcowave Ethanol Private Limited",ANDHRA PRADESH,ALCOWAVE ETHANOL PRIVATE LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(ga) Grain based distilleries
